Year,Category,Average expenditure per household
2019,Eggplant (fresh),8
2019,Squash (fresh),26
2019,Peas (fresh),7
2019,Beans (fresh),21
2019,Mixed vegetables (fresh),6
2019,All other vegetables (fresh),139
2019,Frozen and dried vegetables,62
2019,Potato products (frozen),26
2019,Other frozen vegetables,24
2019,Dried vegetables and legumes,12
2019,Canned vegetables and other vegetable preparations,162
2019,Canned or bottled vegetables,52
2019,"Tomatoes (canned or bottled, including tomato paste)",16
2019,Peas (canned or bottled),5
2019,Beans (canned or bottled),9
2019,"Other vegetables or legumes (canned or bottled, except infant food)",22
2019,Other legumes (canned or bottled),7
2019,Mixed vegetables (canned),F
2019,"All other vegetables (canned or bottled, except infant foods)",15
2019,"Ready-to-serve or ready-to-cook prepared salads and side dishes, fruit or vegetable based",101
2019,Vegetable juice (canned or bottled),9
2019,Tomato juice (canned or bottled),3
2019,Other vegetable juice (canned or bottled),6
2019,Dairy products and eggs,"1,049"
2019,Cheese,341
2019,Cheddar cheese,106
2019,Mozzarella cheese,26
2019,Processed cheese,31
2019,Other cheeses,177
2019,"Cottage cheese, ricotta cheese and other unripened cheese",34
2019,Other natural and ripened cheese,84
2019,Cream cheese,24
2019,All other cheeses,36
2019,Milk,234
2019,Fluid whole milk,46
2019,Fluid low-fat milk,147
2019,Fluid low-fat milk (2%),105
2019,Fluid low-fat milk (1%),42
2019,Skim and other fluid milk,40
2019,Fluid skim milk,13
2019,Other fluid milk,27
2019,Butter,64
2019,Ice cream and ice milk (including novelties),68
2019,Other dairy products,236
2019,Other processed milk products,143
2019,Other processed dairy products,93
2019,Frozen yogurt,2
2019,Cream (except sour cream),42
2019,All other dairy products,16
2019,Dairy product substitutes,32
2019,Eggs and other egg products,107
2019,Eggs,106
2019,Other egg products,1
2019,Meat,"1,481"
2019,Meat (except processed meat),938
2019,Beef,399
2019,Pork,147
2019,Poultry,354
2019,Turkey,33
2019,Chicken,321
2019,Other meat and poultry,38
2019,Processed meat,543
2019,Bacon and ham,81
2019,Bacon,66
2019,Uncooked ham and dinner ham (except deli-style and canned),15
2019,Other processed meat,463
2019,Sausage and wieners,101
2019,"Sausage (fresh or frozen, uncooked)",78
2019,Wieners (except canned),24
2019,Deli and deli-style meat,209
2019,Other meat preparations,153
2019,Other meat preparations (frozen or prepared),139
2019,Meat stew and other meat preparations (canned),14
2019,Fish and seafood,274
2019,Fresh or frozen fish,139
2019,"Cod, flounder, sole and haddock (fresh or frozen, uncooked)",19
2019,"Salmon (fresh or frozen, uncooked)",57
2019,"Other fish (fresh or frozen, uncooked)",63
2019,Canned fish or other preserved fish,55
2019,Tuna (canned),21
2019,Salmon (canned),11
2019,Cured fish,12
2019,Other fish (canned or bottled),11
2019,Seafood and other marine products,81
2019,Shrimp and prawns,47
2019,Other seafood and marine products,34
2019,Lobster,3
2019,Crab,11
2019,Mussels,3
2019,Other shellfish,12
2019,Other marine products,F
2019,Non-alcoholic beverages and other food products,"1,721"
2019,Non-alcoholic beverages and beverage mixes,473
2019,Coffee and tea,190
2019,Roasted and ground coffee,125
2019,Instant and other coffee,27
2019,Tea (including herbal),37
2019,Non-alcoholic beverages,283
2019,Carbonated soft drinks,103
2019,Carbonated water and flavoured water,19
2019,Bottled water,45
2019,Meal replacement (powder and drink),44
2019,Sports and energy drinks,22
2019,Other non-alcoholic beverages,50
2019,Sugar and confectionery,288
2019,"Sugar, syrups and sugar substitutes",49
2019,Sugar,15
2019,Artificial sweeteners,8
2019,Syrups and molasses,15
2019,Sugar preparations for baking and desserts,3
2019,"Other sugar, confections and preparations",8
2019,Candies and chocolates,239
2019,Chocolate bars,88
2019,Other chocolate confections,66
2019,"Baking chocolate, cocoa and chocolate substitutes",11
2019,Sugar candy,55
2019,Gum,19
2019,"Margarine, oils and fats (excluding butter)",74
2019,Margarine,17
2019,Cooking and salad oils,51
2019,Other oils and fats,6
2019,"Condiments, spices and vinegars",312
2019,"Mayonnaise, salad dressings and dips",69
2019,"Pasta and pizza sauces (canned, bottled or dried)",37
2019,"Other sauces and gravies (canned, bottled or dried)",39
2019,Dried herbs and spices,36
2019,Food seasonings (including table salt),46
2019,Ketchup,11
2019,Pickled vegetables (including olives),29
2019,Fresh herbs,20
2019,Other condiments (including vinegar),26
2019,Infant food,29
2019,Infant formula,20
2019,Infant cereals and biscuits,F
2019,Canned or bottled infant food,7
2019,Other infant food (including frozen),F
2019,Frozen prepared food,145
2019,Frozen dinners and entrees,52
2019,Frozen pizza,55
2019,Fish portions (pre-cooked and frozen),8
2019,Frozen side dishes and other frozen prepared food,30
2019,Soup (except infant soup),78
2019,"Soup (chilled, frozen, canned or bottled)",55
2019,Soup (dried),23
2019,Ready-to-serve prepared food,103
2019,Dinners and entrees (except frozen),48
2019,Pizza (except frozen),4
2019,Other ready-to-serve prepared food,51
2019,Snack food,89
2019,Potato-based snack foods,75
2019,Other snack foods,14
2019,Other food preparations,129
2019,Peanut butter and other nut butters,35
2019,Honey,9
2019,"Flavoured drink powders, crystals and syrups",16
2019,"Fruit-flavoured drink powders, crystals and syrups",6
2019,Other drink flavouring powders and syrups (except fruit flavours),10
2019,Non-dairy frozen ice treats,7
2019,Dessert powders,13
2019,Jelly powders,3
2019,Prepared dessert powders,1
2019,"Puddings, custards and jellied desserts (canned or bottled)",9
2019,Tofu,18
2019,"Other canned, bottled or dried meals",6
2019,Other materials for food preparation,25
2019,Food purchased from restaurants,"2,775"
2019,Restaurant meals,"2,458"
2019,Restaurant dinners,"1,364"
2019,Restaurant lunches,887
2019,Restaurant breakfasts,207
2019,Restaurant snacks and beverages,316
